customer_id,signup_date,acquisition_channel,region,company_size,initial_plan
CUST-00001,2023-01-19,Paid Ads,North America,9,Free
CUST-00002,2023-01-21,Content Marketing,Europe,2,Free
CUST-00003,2023-01-16,Referral,Europe,6,Pro
CUST-00004,2023-01-12,Organic Search,North America,7,Free
CUST-00005,2023-01-24,Outbound Sales,North America,4964,Enterprise
CUST-00006,2023-01-08,Referral,North America,17,Free
CUST-00007,2023-01-16,Content Marketing,Europe,3,Free
CUST-00008,2023-01-11,Organic Search,Europe,21,Pro
CUST-00009,2023-01-01,Paid Ads,North America,18,Pro
CUST-00010,2023-01-13,Paid Ads,Asia Pacific,14,Free
CUST-00011,2023-01-05,Content Marketing,Europe,18,Free
CUST-00012,2023-01-11,Referral,Europe,9,Pro
CUST-00013,2023-01-10,Content Marketing,Europe,12,Free
CUST-00014,2023-01-26,Paid Ads,North America,7,Free
CUST-00015,2023-01-08,Organic Search,Europe,119,Business
CUST-00016,2023-01-20,Paid Ads,Asia Pacific,72,Business
CUST-00017,2023-01-03,Organic Search,North America,2,Free
CUST-00018,2023-01-06,Content Marketing,Europe,178,Business
CUST-00019,2023-01-05,Referral,Europe,28,Pro
CUST-00020,2023-01-20,Referral,Asia Pacific,128,Business
CUST-00021,2023-01-16,Paid Ads,Europe,3,Free
CUST-00022,2023-01-12,Outbound Sales,North America,3835,Enterprise
CUST-00023,2023-01-09,Content Marketing,Europe,4,Free
CUST-00024,2023-01-16,Content Marketing,North America,4,Free
CUST-00025,2023-01-16,Organic Search,Latin America,19,Free
CUST-00026,2023-01-01,Paid Ads,Europe,6,Free
CUST-00027,2023-01-22,Organic Search,Europe,122,Business
CUST-00028,2023-01-14,Organic Search,Europe,13,Free
CUST-00029,2023-01-13,Referral,Europe,140,Business
CUST-00030,2023-01-15,Referral,North America,11,Free
CUST-00031,2023-01-23,Outbound Sales,North America,1945,Enterprise
CUST-00032,2023-01-15,Organic Search,North America,16,Pro
CUST-00033,2023-01-08,Paid Ads,Europe,3,Free
CUST-00034,2023-01-21,Paid Ads,Asia Pacific,47,Pro
CUST-00035,2023-01-07,Organic Search,Asia Pacific,19,Free
CUST-00036,2023-01-11,Organic Search,Europe,11,Free
CUST-00037,2023-01-09,Paid Ads,Asia Pacific,48,Pro
CUST-00038,2023-01-14,Organic Search,North America,159,Business
CUST-00039,2023-01-05,Referral,Latin America,4,Free
CUST-00040,2023-01-27,Paid Ads,Europe,19,Free
CUST-00041,2023-01-25,Content Marketing,Asia Pacific,42,Pro
CUST-00042,2023-01-09,Referral,Europe,122,Business
CUST-00043,2023-01-11,Organic Search,Europe,21,Pro
CUST-00044,2023-01-08,Content Marketing,Asia Pacific,8,Free
CUST-00045,2023-01-04,Content Marketing,North America,17,Business
CUST-00046,2023-01-05,Paid Ads,North America,37,Pro
CUST-00047,2023-01-06,Organic Search,Asia Pacific,4,Pro
CUST-00048,2023-01-27,Referral,Asia Pacific,17,Pro
CUST-00049,2023-01-01,Organic Search,North America,46,Pro
CUST-00050,2023-01-19,Organic Search,North America,1,Free
CUST-00051,2023-01-19,Organic Search,Europe,18,Free
CUST-00052,2023-01-22,Content Marketing,North America,43,Pro
CUST-00053,2023-01-04,Referral,Asia Pacific,41,Pro
CUST-00054,2023-01-11,Referral,Latin America,2,Free
CUST-00055,2023-01-18,Content Marketing,Europe,10,Free
CUST-00056,2023-01-25,Paid Ads,North America,240,Business
CUST-00057,2023-01-18,Paid Ads,Europe,3,Free
CUST-00058,2023-02-11,Organic Search,North America,9,Free
CUST-00059,2023-02-26,Paid Ads,North America,40,Pro
CUST-00060,2023-02-09,Outbound Sales,Europe,3897,Enterprise
CUST-00061,2023-02-18,Paid Ads,Asia Pacific,10,Free
CUST-00062,2023-02-18,Content Marketing,Europe,38,Pro
CUST-00063,2023-02-06,Content Marketing,Asia Pacific,1,Free
CUST-00064,2023-02-04,Paid Ads,Asia Pacific,46,Pro
CUST-00065,2023-02-20,Content Marketing,North America,31,Pro
CUST-00066,2023-02-04,Organic Search,Latin America,14,Free
