month,channel,spend
2023-01-01,Content Marketing,436.31
2023-01-01,Organic Search,313.3
2023-01-01,Outbound Sales,2106.8
2023-01-01,Paid Ads,1737.18
2023-01-01,Referral,117.16
2023-02-01,Content Marketing,695.26
2023-02-01,Organic Search,643.83
2023-02-01,Outbound Sales,1114.03
2023-02-01,Paid Ads,2907.28
2023-02-01,Referral,46.93
2023-03-01,Content Marketing,770.1
2023-03-01,Organic Search,547.89
2023-03-01,Outbound Sales,4011.48
2023-03-01,Paid Ads,3220.94
2023-03-01,Referral,191.89
2023-04-01,Content Marketing,699.04
2023-04-01,Organic Search,536.0
2023-04-01,Outbound Sales,2987.27
2023-04-01,Paid Ads,3542.13
2023-04-01,Referral,276.86
2023-05-01,Content Marketing,929.78
2023-05-01,Organic Search,786.49
2023-05-01,Outbound Sales,6155.89
2023-05-01,Paid Ads,5007.84
2023-05-01,Referral,179.04
2023-06-01,Content Marketing,748.8
2023-06-01,Organic Search,1229.59
2023-06-01,Outbound Sales,5967.04
2023-06-01,Paid Ads,6152.7
2023-06-01,Referral,159.61
2023-07-01,Content Marketing,1064.07
2023-07-01,Organic Search,825.09
2023-07-01,Outbound Sales,2593.7
2023-07-01,Paid Ads,4483.33
2023-07-01,Referral,181.26
2023-08-01,Content Marketing,1050.37
2023-08-01,Organic Search,1218.11
2023-08-01,Outbound Sales,4004.21
2023-08-01,Paid Ads,3283.97
2023-08-01,Referral,370.54
2023-09-01,Content Marketing,980.63
2023-09-01,Organic Search,1197.48
2023-09-01,Outbound Sales,7890.23
2023-09-01,Paid Ads,5279.03
2023-09-01,Referral,348.48
2023-10-01,Content Marketing,1095.46
2023-10-01,Organic Search,1692.31
2023-10-01,Outbound Sales,6370.31
2023-10-01,Paid Ads,5117.18
2023-10-01,Referral,375.5
2023-11-01,Content Marketing,1613.85
2023-11-01,Organic Search,1970.62
2023-11-01,Outbound Sales,7245.78
2023-11-01,Paid Ads,7601.19
2023-11-01,Referral,318.98
2023-12-01,Content Marketing,1064.16
2023-12-01,Organic Search,1048.07
2023-12-01,Outbound Sales,4341.61
2023-12-01,Paid Ads,4887.89
2023-12-01,Referral,277.75
2024-01-01,Content Marketing,923.03
2024-01-01,Organic Search,1380.52
2024-01-01,Outbound Sales,7348.68
2024-01-01,Paid Ads,7515.68
2024-01-01,Referral,294.4
2024-02-01,Content Marketing,1379.92
2024-02-01,Organic Search,1548.92
2024-02-01,Outbound Sales,6531.94
2024-02-01,Paid Ads,8658.72
2024-02-01,Referral,374.12
2024-03-01,Content Marketing,1416.99
2024-03-01,Organic Search,1728.82
2024-03-01,Outbound Sales,8021.72
2024-03-01,Paid Ads,8632.16
2024-03-01,Referral,427.98
2024-04-01,Content Marketing,1767.99
2024-04-01,Organic Search,1572.15
2024-04-01,Outbound Sales,7184.72
2024-04-01,Paid Ads,7720.54
2024-04-01,Referral,423.73
2024-05-01,Content Marketing,2064.1
2024-05-01,Organic Search,2328.05
2024-05-01,Outbound Sales,7323.37
2024-05-01,Paid Ads,8840.38
2024-05-01,Referral,480.6
2024-06-01,Content Marketing,1356.27
2024-06-01,Organic Search,1790.03
2024-06-01,Outbound Sales,6707.42
2024-06-01,Paid Ads,9346.3
2024-06-01,Referral,451.86
2024-07-01,Content Marketing,1328.98
2024-07-01,Organic Search,1548.36
2024-07-01,Outbound Sales,5829.93
2024-07-01,Paid Ads,9057.33
2024-07-01,Referral,311.3
2024-08-01,Content Marketing,2056.64
2024-08-01,Organic Search,1629.67
2024-08-01,Outbound Sales,11522.73
2024-08-01,Paid Ads,8393.55
2024-08-01,Referral,470.88
2024-09-01,Content Marketing,1899.93
2024-09-01,Organic Search,2055.05
2024-09-01,Outbound Sales,7815.75
2024-09-01,Paid Ads,8928.97
2024-09-01,Referral,639.72
2024-10-01,Content Marketing,2156.85
2024-10-01,Organic Search,2368.77
2024-10-01,Outbound Sales,11803.83
2024-10-01,Paid Ads,12491.6
2024-10-01,Referral,577.49
2024-11-01,Content Marketing,2491.1
2024-11-01,Organic Search,2113.81
2024-11-01,Outbound Sales,12806.34
2024-11-01,Paid Ads,10636.93
2024-11-01,Referral,652.51
2024-12-01,Content Marketing,1660.74
2024-12-01,Organic Search,2063.44
2024-12-01,Outbound Sales,10875.68
2024-12-01,Paid Ads,7102.03
2024-12-01,Referral,273.82
