event_id,customer_id,event_date,event_type,plan_before,plan_after,mrr_before,mrr_after
EVT-000017,CUST-00009,2023-01-01,signup,,Pro,0,15
EVT-000047,CUST-00026,2023-01-01,signup,,Free,0,0
EVT-000090,CUST-00049,2023-01-01,signup,,Pro,0,15
EVT-000030,CUST-00017,2023-01-03,signup,,Free,0,0
EVT-000082,CUST-00045,2023-01-04,signup,,Business,0,49
EVT-000098,CUST-00053,2023-01-04,signup,,Pro,0,15
EVT-000020,CUST-00011,2023-01-05,signup,,Free,0,0
EVT-000034,CUST-00019,2023-01-05,signup,,Pro,0,15
EVT-000071,CUST-00039,2023-01-05,signup,,Free,0,0
EVT-000084,CUST-00046,2023-01-05,signup,,Pro,0,15
EVT-000032,CUST-00018,2023-01-06,signup,,Business,0,49
EVT-000086,CUST-00047,2023-01-06,signup,,Pro,0,15
EVT-000063,CUST-00035,2023-01-07,signup,,Free,0,0
EVT-000011,CUST-00006,2023-01-08,signup,,Free,0,0
EVT-000028,CUST-00015,2023-01-08,signup,,Business,0,49
EVT-000060,CUST-00033,2023-01-08,signup,,Free,0,0
EVT-000080,CUST-00044,2023-01-08,signup,,Free,0,0
EVT-000042,CUST-00023,2023-01-09,signup,,Free,0,0
EVT-000067,CUST-00037,2023-01-09,signup,,Pro,0,15
EVT-000077,CUST-00042,2023-01-09,signup,,Business,0,49
EVT-000023,CUST-00013,2023-01-10,signup,,Free,0,0
EVT-000015,CUST-00008,2023-01-11,signup,,Pro,0,15
EVT-000021,CUST-00012,2023-01-11,signup,,Pro,0,15
EVT-000066,CUST-00036,2023-01-11,signup,,Free,0,0
EVT-000079,CUST-00043,2023-01-11,signup,,Pro,0,15
EVT-000100,CUST-00054,2023-01-11,signup,,Free,0,0
EVT-000008,CUST-00004,2023-01-12,signup,,Free,0,0
EVT-000041,CUST-00022,2023-01-12,signup,,Enterprise,0,199
EVT-000018,CUST-00010,2023-01-13,signup,,Free,0,0
EVT-000053,CUST-00029,2023-01-13,signup,,Business,0,49
EVT-000051,CUST-00028,2023-01-14,signup,,Free,0,0
EVT-000069,CUST-00038,2023-01-14,signup,,Business,0,49
EVT-000054,CUST-00030,2023-01-15,signup,,Free,0,0
EVT-000057,CUST-00032,2023-01-15,signup,,Pro,0,15
EVT-000006,CUST-00003,2023-01-16,signup,,Pro,0,15
EVT-000013,CUST-00007,2023-01-16,signup,,Free,0,0
EVT-000039,CUST-00021,2023-01-16,signup,,Free,0,0
EVT-000044,CUST-00024,2023-01-16,signup,,Free,0,0
EVT-000046,CUST-00025,2023-01-16,signup,,Free,0,0
EVT-000102,CUST-00055,2023-01-18,signup,,Free,0,0
EVT-000106,CUST-00057,2023-01-18,signup,,Free,0,0
EVT-000001,CUST-00001,2023-01-19,signup,,Free,0,0
EVT-000093,CUST-00050,2023-01-19,signup,,Free,0,0
EVT-000095,CUST-00051,2023-01-19,signup,,Free,0,0
EVT-000029,CUST-00016,2023-01-20,signup,,Business,0,49
EVT-000037,CUST-00020,2023-01-20,signup,,Business,0,49
EVT-000004,CUST-00002,2023-01-21,signup,,Free,0,0
EVT-000062,CUST-00034,2023-01-21,signup,,Pro,0,15
