month,channel,spend,new_customers,cac
2023-01-01,Content Marketing,436.31,12,36.35916666666667
2023-02-01,Content Marketing,695.26,20,34.763
2023-03-01,Content Marketing,770.1,23,33.482608695652175
2023-04-01,Content Marketing,699.04,18,38.83555555555555
2023-05-01,Content Marketing,929.78,25,37.1912
2023-06-01,Content Marketing,748.8,24,31.2
2023-07-01,Content Marketing,1064.07,26,40.92576923076923
2023-08-01,Content Marketing,1050.37,25,42.014799999999994
2023-09-01,Content Marketing,980.63,31,31.633225806451613
2023-10-01,Content Marketing,1095.46,36,30.429444444444446
2023-11-01,Content Marketing,1613.85,42,38.425
2023-12-01,Content Marketing,1064.16,28,38.00571428571429
2024-01-01,Content Marketing,923.03,25,36.9212
2024-02-01,Content Marketing,1379.92,44,31.361818181818183
2024-03-01,Content Marketing,1416.99,42,33.737857142857145
2024-04-01,Content Marketing,1767.99,53,33.358301886792454
2024-05-01,Content Marketing,2064.1,59,34.98474576271186
2024-06-01,Content Marketing,1356.27,48,28.255625
2024-07-01,Content Marketing,1328.98,35,37.97085714285714
2024-08-01,Content Marketing,2056.64,66,31.16121212121212
2024-09-01,Content Marketing,1899.93,62,30.644032258064517
2024-10-01,Content Marketing,2156.85,66,32.679545454545455
2024-11-01,Content Marketing,2491.1,78,31.937179487179485
2024-12-01,Content Marketing,1660.74,48,34.59875
2023-01-01,Organic Search,313.3,16,19.58125
2023-02-01,Organic Search,643.83,32,20.1196875
2023-03-01,Organic Search,547.89,29,18.892758620689655
2023-04-01,Organic Search,536.0,29,18.482758620689655
2023-05-01,Organic Search,786.49,41,19.18268292682927
2023-06-01,Organic Search,1229.59,55,22.356181818181817
2023-07-01,Organic Search,825.09,38,21.712894736842106
2023-08-01,Organic Search,1218.11,64,19.03296875
2023-09-01,Organic Search,1197.48,64,18.710625
2023-10-01,Organic Search,1692.31,83,20.389277108433735
2023-11-01,Organic Search,1970.62,84,23.459761904761905
2023-12-01,Organic Search,1048.07,48,21.834791666666664
2024-01-01,Organic Search,1380.52,62,22.266451612903225
2024-02-01,Organic Search,1548.92,79,19.606582278481014
2024-03-01,Organic Search,1728.82,90,19.20911111111111
2024-04-01,Organic Search,1572.15,101,15.565841584158417
2024-05-01,Organic Search,2328.05,92,25.304891304347827
2024-06-01,Organic Search,1790.03,90,19.889222222222223
2024-07-01,Organic Search,1548.36,75,20.6448
2024-08-01,Organic Search,1629.67,73,22.324246575342467
2024-09-01,Organic Search,2055.05,135,15.222592592592594
2024-10-01,Organic Search,2368.77,118,20.074322033898305
2024-11-01,Organic Search,2113.81,122,17.326311475409835
2024-12-01,Organic Search,2063.44,110,18.758545454545455
2023-01-01,Outbound Sales,2106.8,3,702.2666666666668
2023-02-01,Outbound Sales,1114.03,2,557.015
2023-03-01,Outbound Sales,4011.48,7,573.0685714285714
2023-04-01,Outbound Sales,2987.27,6,497.87833333333333
2023-05-01,Outbound Sales,6155.89,10,615.589
2023-06-01,Outbound Sales,5967.04,11,542.4581818181819
2023-07-01,Outbound Sales,2593.7,6,432.2833333333333
2023-08-01,Outbound Sales,4004.21,8,500.52625
2023-09-01,Outbound Sales,7890.23,11,717.2936363636363
2023-10-01,Outbound Sales,6370.31,11,579.1190909090909
2023-11-01,Outbound Sales,7245.78,12,603.8149999999999
2023-12-01,Outbound Sales,4341.61,8,542.70125
2024-01-01,Outbound Sales,7348.68,12,612.39
2024-02-01,Outbound Sales,6531.94,12,544.3283333333333
2024-03-01,Outbound Sales,8021.72,13,617.0553846153846
2024-04-01,Outbound Sales,7184.72,11,653.1563636363636
2024-05-01,Outbound Sales,7323.37,18,406.8538888888889
2024-06-01,Outbound Sales,6707.42,14,479.1014285714286
2024-07-01,Outbound Sales,5829.93,11,529.9936363636364
2024-08-01,Outbound Sales,11522.73,18,640.1516666666666
2024-09-01,Outbound Sales,7815.75,14,558.2678571428571
2024-10-01,Outbound Sales,11803.83,19,621.2542105263158
2024-11-01,Outbound Sales,12806.34,23,556.7973913043478
2024-12-01,Outbound Sales,10875.68,17,639.7458823529412
2023-01-01,Paid Ads,1737.18,14,124.08428571428571
2023-02-01,Paid Ads,2907.28,25,116.2912
2023-03-01,Paid Ads,3220.94,27,119.29407407407408
2023-04-01,Paid Ads,3542.13,27,131.19
2023-05-01,Paid Ads,5007.84,41,122.14243902439024
2023-06-01,Paid Ads,6152.7,46,133.75434782608696
2023-07-01,Paid Ads,4483.33,45,99.62955555555556
2023-08-01,Paid Ads,3283.97,25,131.3588
2023-09-01,Paid Ads,5279.03,52,101.5198076923077
2023-10-01,Paid Ads,5117.18,46,111.24304347826087
2023-11-01,Paid Ads,7601.19,58,131.055
2023-12-01,Paid Ads,4887.89,38,128.62868421052633
2024-01-01,Paid Ads,7515.68,55,136.64872727272729
2024-02-01,Paid Ads,8658.72,70,123.69599999999998
2024-03-01,Paid Ads,8632.16,72,119.89111111111112
2024-04-01,Paid Ads,7720.54,71,108.74
2024-05-01,Paid Ads,8840.38,80,110.50474999999999
2024-06-01,Paid Ads,9346.3,78,119.82435897435896
2024-07-01,Paid Ads,9057.33,75,120.7644
2024-08-01,Paid Ads,8393.55,87,96.47758620689655
2024-09-01,Paid Ads,8928.97,78,114.47397435897435
2024-10-01,Paid Ads,12491.6,109,114.60183486238533
2024-11-01,Paid Ads,10636.93,105,101.30409523809524
2024-12-01,Paid Ads,7102.03,64,110.96921875
2023-01-01,Referral,117.16,12,9.763333333333334
2023-02-01,Referral,46.93,5,9.386
2023-03-01,Referral,191.89,18,10.660555555555554
2023-04-01,Referral,276.86,22,12.584545454545456
2023-05-01,Referral,179.04,18,9.946666666666665
2023-06-01,Referral,159.61,15,10.640666666666668
2023-07-01,Referral,181.26,18,10.07
2023-08-01,Referral,370.54,31,11.952903225806452
2023-09-01,Referral,348.48,40,8.712
2023-10-01,Referral,375.5,34,11.044117647058824
2023-11-01,Referral,318.98,37,8.621081081081082
2023-12-01,Referral,277.75,27,10.287037037037036
2024-01-01,Referral,294.4,34,8.658823529411764
2024-02-01,Referral,374.12,39,9.592820512820513
2024-03-01,Referral,427.98,41,10.438536585365854
2024-04-01,Referral,423.73,41,10.334878048780489
2024-05-01,Referral,480.6,46,10.447826086956523
2024-06-01,Referral,451.86,45,10.041333333333334
2024-07-01,Referral,311.3,30,10.376666666666667
2024-08-01,Referral,470.88,47,10.018723404255319
2024-09-01,Referral,639.72,51,12.543529411764707
2024-10-01,Referral,577.49,56,10.312321428571428
2024-11-01,Referral,652.51,61,10.696885245901639
2024-12-01,Referral,273.82,43,6.367906976744186
