month,active_customers_start_of_month,churned_customers,logo_churn_rate,mrr_start_of_month,churned_mrr,revenue_churn_rate
2023-01-01,0,0,,0.0,0,
2023-02-01,57,7,0.12280701754385964,1327.0,98,0.07385079125847777
2023-03-01,134,20,0.14925373134328357,2499.0,135,0.05402160864345738
2023-04-01,218,29,0.13302752293577982,4663.0,184,0.03945957538065623
2023-05-01,291,20,0.06872852233676977,6674.0,154,0.023074617920287685
2023-06-01,406,34,0.08374384236453201,9886.0,515,0.05209387011936071
2023-07-01,523,59,0.11281070745697896,12944.0,714,0.05516069221260816
2023-08-01,597,53,0.08877721943048576,15202.0,402,0.026443888961978686
2023-09-01,697,58,0.08321377331420372,17998.0,447,0.024836092899211022
2023-10-01,837,69,0.08243727598566308,22178.0,529,0.023852466408152223
2023-11-01,978,71,0.07259713701431493,25736.0,830,0.03225054398507927
2023-12-01,1140,83,0.07280701754385965,29354.0,717,0.024425972610206445
2024-01-01,1206,104,0.08623548922056384,32309.0,1368,0.04234114333467455
2024-02-01,1290,93,0.07209302325581396,35482.0,834,0.02350487571162843
2024-03-01,1441,96,0.06662040249826509,40184.0,936,0.023292852876766874
2024-04-01,1603,121,0.07548346849656894,45294.0,1489,0.03287411136132821
2024-05-01,1759,116,0.06594656054576464,50068.0,1303,0.02602460653511225
2024-06-01,1938,152,0.0784313725490196,55135.0,1375,0.024938786614673074
2024-07-01,2061,149,0.0722950024260068,59697.0,1376,0.02304973449252056
2024-08-01,2138,134,0.0626753975678204,64581.0,1469,0.022746628265279262
2024-09-01,2295,161,0.07015250544662309,69180.0,2255,0.032596126047990746
2024-10-01,2474,158,0.06386418755052546,75174.0,1931,0.025687072658099875
2024-11-01,2684,155,0.05774962742175857,81743.0,2459,0.030082086539520204
2024-12-01,2918,204,0.06991089787525702,88164.0,2232,0.02531645569620253
