cohort_month,months_since_signup,active_customers,cohort_size,retention_rate
2023-01-01,0,57,57,1.0
2023-01-01,1,50,57,0.8771929824561403
2023-01-01,2,42,57,0.7368421052631579
2023-01-01,3,42,57,0.7368421052631579
2023-01-01,4,38,57,0.6666666666666666
2023-01-01,5,35,57,0.6140350877192983
2023-01-01,6,32,57,0.5614035087719298
2023-01-01,7,29,57,0.5087719298245614
2023-01-01,8,29,57,0.5087719298245614
2023-01-01,9,28,57,0.49122807017543857
2023-01-01,10,27,57,0.47368421052631576
2023-01-01,11,25,57,0.43859649122807015
2023-01-01,12,22,57,0.38596491228070173
2023-01-01,13,21,57,0.3684210526315789
2023-01-01,14,20,57,0.3508771929824561
2023-01-01,15,20,57,0.3508771929824561
2023-01-01,16,20,57,0.3508771929824561
2023-01-01,17,20,57,0.3508771929824561
2023-01-01,18,19,57,0.3333333333333333
2023-01-01,19,18,57,0.3157894736842105
2023-01-01,20,18,57,0.3157894736842105
2023-01-01,21,18,57,0.3157894736842105
2023-01-01,22,18,57,0.3157894736842105
2023-01-01,23,18,57,0.3157894736842105
2023-02-01,0,84,84,1.0
2023-02-01,1,72,84,0.8571428571428571
2023-02-01,2,62,84,0.7380952380952381
2023-02-01,3,58,84,0.6904761904761905
2023-02-01,4,56,84,0.6666666666666666
2023-02-01,5,53,84,0.6309523809523809
2023-02-01,6,47,84,0.5595238095238095
2023-02-01,7,43,84,0.5119047619047619
2023-02-01,8,42,84,0.5
2023-02-01,9,41,84,0.4880952380952381
2023-02-01,10,40,84,0.47619047619047616
2023-02-01,11,37,84,0.44047619047619047
2023-02-01,12,33,84,0.39285714285714285
2023-02-01,13,32,84,0.38095238095238093
2023-02-01,14,31,84,0.36904761904761907
2023-02-01,15,30,84,0.35714285714285715
2023-02-01,16,27,84,0.32142857142857145
2023-02-01,17,26,84,0.30952380952380953
2023-02-01,18,25,84,0.2976190476190476
2023-02-01,19,25,84,0.2976190476190476
2023-02-01,20,23,84,0.27380952380952384
2023-02-01,21,23,84,0.27380952380952384
2023-02-01,22,23,84,0.27380952380952384
2023-03-01,0,104,104,1.0
2023-03-01,1,85,104,0.8173076923076923
2023-03-01,2,77,104,0.7403846153846154
2023-03-01,3,71,104,0.6826923076923077
2023-03-01,4,66,104,0.6346153846153846
2023-03-01,5,60,104,0.5769230769230769
2023-03-01,6,56,104,0.5384615384615384
2023-03-01,7,50,104,0.4807692307692308
2023-03-01,8,49,104,0.47115384615384615
2023-03-01,9,48,104,0.46153846153846156
2023-03-01,10,47,104,0.4519230769230769
2023-03-01,11,46,104,0.4423076923076923
2023-03-01,12,43,104,0.41346153846153844
2023-03-01,13,38,104,0.36538461538461536
2023-03-01,14,37,104,0.3557692307692308
2023-03-01,15,35,104,0.33653846153846156
2023-03-01,16,33,104,0.3173076923076923
2023-03-01,17,31,104,0.2980769230769231
2023-03-01,18,29,104,0.27884615384615385
