customer_id,month,plan,mrr,acquisition_channel
CUST-00001,2023-01-01,Free,0,Paid Ads
CUST-00001,2023-02-01,Free,0,Paid Ads
CUST-00001,2023-03-01,Free,0,Paid Ads
CUST-00001,2023-04-01,Pro,15,Paid Ads
CUST-00001,2023-05-01,Pro,15,Paid Ads
CUST-00001,2023-06-01,Pro,15,Paid Ads
CUST-00002,2023-01-01,Free,0,Content Marketing
CUST-00002,2023-02-01,Free,0,Content Marketing
CUST-00002,2023-03-01,Free,0,Content Marketing
CUST-00002,2023-04-01,Free,0,Content Marketing
CUST-00002,2023-05-01,Free,0,Content Marketing
CUST-00002,2023-06-01,Free,0,Content Marketing
CUST-00002,2023-07-01,Free,0,Content Marketing
CUST-00003,2023-01-01,Pro,15,Referral
CUST-00003,2023-02-01,Pro,15,Referral
CUST-00003,2023-03-01,Pro,15,Referral
CUST-00003,2023-04-01,Pro,15,Referral
CUST-00003,2023-05-01,Pro,15,Referral
CUST-00003,2023-06-01,Pro,15,Referral
CUST-00003,2023-07-01,Pro,15,Referral
CUST-00003,2023-08-01,Pro,15,Referral
CUST-00003,2023-09-01,Pro,15,Referral
CUST-00003,2023-10-01,Pro,15,Referral
CUST-00004,2023-01-01,Free,0,Organic Search
CUST-00004,2023-02-01,Free,0,Organic Search
CUST-00004,2023-03-01,Free,0,Organic Search
CUST-00004,2023-04-01,Free,0,Organic Search
CUST-00005,2023-01-01,Enterprise,199,Outbound Sales
CUST-00005,2023-02-01,Enterprise,199,Outbound Sales
CUST-00005,2023-03-01,Enterprise,199,Outbound Sales
CUST-00005,2023-04-01,Enterprise,199,Outbound Sales
CUST-00005,2023-05-01,Enterprise,199,Outbound Sales
CUST-00005,2023-06-01,Enterprise,199,Outbound Sales
CUST-00005,2023-07-01,Enterprise,199,Outbound Sales
CUST-00005,2023-08-01,Enterprise,199,Outbound Sales
CUST-00005,2023-09-01,Enterprise,199,Outbound Sales
CUST-00005,2023-10-01,Enterprise,199,Outbound Sales
CUST-00005,2023-11-01,Enterprise,199,Outbound Sales
CUST-00005,2023-12-01,Enterprise,199,Outbound Sales
CUST-00005,2024-01-01,Enterprise,199,Outbound Sales
CUST-00005,2024-02-01,Enterprise,199,Outbound Sales
CUST-00005,2024-03-01,Enterprise,199,Outbound Sales
CUST-00005,2024-04-01,Enterprise,199,Outbound Sales
CUST-00005,2024-05-01,Enterprise,199,Outbound Sales
CUST-00005,2024-06-01,Enterprise,199,Outbound Sales
CUST-00005,2024-07-01,Enterprise,199,Outbound Sales
CUST-00005,2024-08-01,Enterprise,199,Outbound Sales
CUST-00005,2024-09-01,Enterprise,199,Outbound Sales
CUST-00005,2024-10-01,Enterprise,199,Outbound Sales
CUST-00005,2024-11-01,Enterprise,199,Outbound Sales
CUST-00005,2024-12-01,Enterprise,199,Outbound Sales
CUST-00006,2023-01-01,Free,0,Referral
CUST-00006,2023-02-01,Free,0,Referral
CUST-00007,2023-01-01,Free,0,Content Marketing
CUST-00007,2023-02-01,Free,0,Content Marketing
CUST-00008,2023-01-01,Pro,15,Organic Search
CUST-00008,2023-02-01,Pro,15,Organic Search
CUST-00008,2023-03-01,Pro,15,Organic Search
CUST-00008,2023-04-01,Pro,15,Organic Search
CUST-00008,2023-05-01,Pro,15,Organic Search
CUST-00008,2023-06-01,Pro,15,Organic Search
CUST-00008,2023-07-01,Pro,15,Organic Search
CUST-00008,2023-08-01,Pro,15,Organic Search
CUST-00008,2023-09-01,Pro,15,Organic Search
CUST-00008,2023-10-01,Pro,15,Organic Search
CUST-00008,2023-11-01,Pro,15,Organic Search
CUST-00008,2023-12-01,Pro,15,Organic Search
CUST-00009,2023-01-01,Pro,15,Paid Ads
CUST-00009,2023-02-01,Pro,15,Paid Ads
CUST-00009,2023-03-01,Pro,15,Paid Ads
CUST-00009,2023-04-01,Pro,15,Paid Ads
CUST-00009,2023-05-01,Pro,15,Paid Ads
CUST-00009,2023-06-01,Pro,15,Paid Ads
CUST-00009,2023-07-01,Pro,15,Paid Ads
CUST-00009,2023-08-01,Pro,15,Paid Ads
CUST-00009,2023-09-01,Pro,15,Paid Ads
CUST-00009,2023-10-01,Pro,15,Paid Ads
CUST-00009,2023-11-01,Pro,15,Paid Ads
CUST-00009,2023-12-01,Pro,15,Paid Ads
CUST-00009,2024-01-01,Pro,15,Paid Ads
CUST-00009,2024-02-01,Pro,15,Paid Ads
CUST-00009,2024-03-01,Pro,15,Paid Ads
CUST-00009,2024-04-01,Pro,15,Paid Ads
CUST-00009,2024-05-01,Pro,15,Paid Ads
CUST-00009,2024-06-01,Pro,15,Paid Ads
CUST-00009,2024-07-01,Pro,15,Paid Ads
CUST-00009,2024-08-01,Pro,15,Paid Ads
CUST-00009,2024-09-01,Pro,15,Paid Ads
CUST-00009,2024-10-01,Pro,15,Paid Ads
CUST-00009,2024-11-01,Pro,15,Paid Ads
CUST-00009,2024-12-01,Pro,15,Paid Ads
CUST-00010,2023-01-01,Free,0,Paid Ads
CUST-00010,2023-02-01,Free,0,Paid Ads
CUST-00010,2023-03-01,Free,0,Paid Ads
CUST-00010,2023-04-01,Free,0,Paid Ads
CUST-00010,2023-05-01,Free,0,Paid Ads
CUST-00011,2023-01-01,Free,0,Content Marketing
CUST-00011,2023-02-01,Free,0,Content Marketing
CUST-00011,2023-03-01,Free,0,Content Marketing
CUST-00011,2023-04-01,Free,0,Content Marketing
CUST-00011,2023-05-01,Free,0,Content Marketing
CUST-00011,2023-06-01,Free,0,Content Marketing
CUST-00011,2023-07-01,Free,0,Content Marketing
CUST-00011,2023-08-01,Free,0,Content Marketing
CUST-00011,2023-09-01,Free,0,Content Marketing
CUST-00011,2023-10-01,Free,0,Content Marketing
CUST-00011,2023-11-01,Free,0,Content Marketing
CUST-00011,2023-12-01,Free,0,Content Marketing
CUST-00011,2024-01-01,Free,0,Content Marketing
CUST-00011,2024-02-01,Free,0,Content Marketing
CUST-00011,2024-03-01,Free,0,Content Marketing
CUST-00011,2024-04-01,Free,0,Content Marketing
CUST-00011,2024-05-01,Free,0,Content Marketing
CUST-00011,2024-06-01,Free,0,Content Marketing
CUST-00011,2024-07-01,Free,0,Content Marketing
CUST-00011,2024-08-01,Free,0,Content Marketing
CUST-00011,2024-09-01,Free,0,Content Marketing
CUST-00011,2024-10-01,Free,0,Content Marketing
CUST-00011,2024-11-01,Free,0,Content Marketing
CUST-00011,2024-12-01,Free,0,Content Marketing
CUST-00012,2023-01-01,Pro,15,Referral
CUST-00012,2023-02-01,Pro,15,Referral
CUST-00013,2023-01-01,Free,0,Content Marketing
CUST-00013,2023-02-01,Free,0,Content Marketing
CUST-00013,2023-03-01,Free,0,Content Marketing
CUST-00013,2023-04-01,Free,0,Content Marketing
CUST-00014,2023-01-01,Free,0,Paid Ads
CUST-00014,2023-02-01,Free,0,Paid Ads
CUST-00014,2023-03-01,Free,0,Paid Ads
CUST-00014,2023-04-01,Pro,15,Paid Ads
CUST-00014,2023-05-01,Pro,15,Paid Ads
CUST-00014,2023-06-01,Pro,15,Paid Ads
CUST-00014,2023-07-01,Pro,15,Paid Ads
CUST-00014,2023-08-01,Pro,15,Paid Ads
CUST-00014,2023-09-01,Pro,15,Paid Ads
CUST-00014,2023-10-01,Pro,15,Paid Ads
CUST-00014,2023-11-01,Pro,15,Paid Ads
CUST-00014,2023-12-01,Pro,15,Paid Ads
CUST-00015,2023-01-01,Business,49,Organic Search
CUST-00015,2023-02-01,Business,49,Organic Search
CUST-00015,2023-03-01,Business,49,Organic Search
CUST-00015,2023-04-01,Business,49,Organic Search
CUST-00015,2023-05-01,Business,49,Organic Search
CUST-00015,2023-06-01,Business,49,Organic Search
CUST-00015,2023-07-01,Business,49,Organic Search
CUST-00015,2023-08-01,Business,49,Organic Search
CUST-00015,2023-09-01,Business,49,Organic Search
CUST-00015,2023-10-01,Business,49,Organic Search
CUST-00015,2023-11-01,Business,49,Organic Search
CUST-00015,2023-12-01,Business,49,Organic Search
CUST-00015,2024-01-01,Business,49,Organic Search
CUST-00015,2024-02-01,Business,49,Organic Search
CUST-00015,2024-03-01,Business,49,Organic Search
CUST-00015,2024-04-01,Business,49,Organic Search
CUST-00015,2024-05-01,Business,49,Organic Search
