month,starting_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,ending_mrr
2023-01-01,0,1327,0,0,0,1327
2023-02-01,1327,1236,34,0,-98,2499
2023-03-01,2499,2250,49,0,-135,4663
2023-04-01,4663,2007,222,-34,-184,6674
2023-05-01,6674,3332,98,-64,-154,9886
2023-06-01,9886,3174,474,-75,-515,12944
2023-07-01,12944,2498,504,-30,-714,15202
2023-08-01,15202,3108,120,-30,-402,17998
2023-09-01,17998,4079,646,-98,-447,22178
2023-10-01,22178,3801,346,-60,-529,25736
2023-11-01,25736,4023,485,-60,-830,29354
2023-12-01,29354,3039,814,-181,-717,32309
2024-01-01,32309,4153,505,-117,-1368,35482
2024-02-01,35482,5046,667,-177,-834,40184
2024-03-01,40184,5090,1110,-154,-936,45294
2024-04-01,45294,5120,1391,-248,-1489,50068
2024-05-01,50068,5650,980,-260,-1303,55135
2024-06-01,55135,5071,1204,-338,-1375,59697
2024-07-01,59697,4862,1672,-274,-1376,64581
2024-08-01,64581,5773,881,-586,-1469,69180
2024-09-01,69180,6824,1583,-158,-2255,75174
2024-10-01,75174,7072,1898,-470,-1931,81743
2024-11-01,81743,7874,1457,-451,-2459,88164
2024-12-01,88164,5981,1825,-534,-2232,93204
